ID	group	hsa_circRNA_100117	hsa_circRNA_101226	hsa_circRNA_102465	hsa_circRNA_102984	hsa_circRNA_103076	hsa_circRNA_103089	hsa_circRNA_103285	hsa_circRNA_103390	hsa_circRNA_104003	hsa_circRNA_104313	hsa_circRNA_104759	hsa_circRNA_400091
GSM2099911	1	7.479619	10.62189	9.46583	11.10661	7.533163	7.976011	10.072352	9.893087	9.544386	6.795968	9.176113	10.724429
GSM2099913	1	7.4377	9.418482	9.465538	11.581836	7.434465	8.289871	10.114909	10.463544	9.913956	7.083221	9.12024	10.681777
GSM2099915	1	6.68299	9.096007	8.335836	11.591696	7.712007	7.881256	9.56174	10.214784	9.622831	6.970762	8.810172	10.737406
GSM2099917	1	8.005165	7.699274	9.588171	11.657076	8.215096	7.977421	10.260118	10.452645	10.108346	6.920213	8.683875	10.928593
GSM2099919	1	6.925352	11.08986	9.222898	11.5639	7.938221	8.158307	10.079864	10.263048	10.241388	7.087206	9.492606	10.828216
GSM2099921	1	6.608831	11.647462	8.196619	11.158489	7.339667	7.940154	9.433132	10.031162	9.839116	7.133214	8.641829	10.528821
GSM2099923	1	6.952794	6.600637	9.466838	10.761588	7.311094	9.232859	9.632511	9.975348	9.653541	5.518874	8.940866	10.451701
GSM2099925	1	6.410949	8.095608	8.001161	10.504089	7.41985	8.245848	8.586728	9.292089	9.332402	6.125171	8.232544	9.288089
GSM2099927	1	6.679774	6.770456	8.381615	10.474717	7.027341	8.902968	9.227516	9.491134	9.587779	5.768204	8.830082	10.245806
GSM2099929	1	7.154631	9.292332	9.305505	10.809374	7.432794	7.896595	9.741496	9.679504	9.7437	6.481509	9.211008	10.528821
GSM2099931	1	7.044527	7.592223	8.574035	12.23704	7.926114	8.407803	10.002926	10.598138	10.204205	8.628175	9.332402	10.99454
GSM2099933	1	6.534561	11.382331	8.42967	11.585486	7.663605	8.267232	9.593219	10.155595	10.324195	6.913198	9.203013	10.51901
